Egg.ID,mean_num_position_changes,position_var,temp_mean,temp_var,rh_mean,rh_var,Facility,Fate,Fate_Treatment,Year,Egg_Treatment,Treatment,Treatment2,Egg type,Logger.ID,Pair.ID,Hatch.Assisted,Lay.date,Egg.age.pairing,Egg.age.at.hatch.fail,Paired.date,Unpaired.date,Hatch.fail.date,Comment
S17#2.2,0.64697609,184.4596937,37.17931952,0.104677705,56.56668829,6.643894174,Patuxent,Failed,Failed GQF1,2017,SHC-GQF1,GQF1,AI,SHC,P-1,16,NA,119,3,33,122,152,152,
B5#6,4.372909699,1443.695288,32.99022223,3.253752402,56.14154009,53.21874804,Patuxent,Failed,Failed WC,2017,WC-WC,WC,NI,WC,P-2,25,NA,119,0,25,119,144,144,
R34#2,0.629230769,33.03334187,37.84819301,0.161370712,54.61159941,5.414892459,Patuxent,Failed,Failed GQF2,2017,SHC-GQF2,GQF2,AI,SHC,P-3,15,NA,104,4,31,108,135,135,
S17#1.2,0.61167002,32.43440527,37.84782811,0.093365517,54.74613336,2.9159985,Patuxent,Failed,Failed GQF2,2017,SHC-GQF2,GQF2,AI,SHC,P-3,16,NA,116,6,28,122,143,144,
Y16#2,0.618513324,31.80232667,37.83632742,0.118076591,54.83069096,2.915416089,Patuxent,Failed,Failed GQF2,2017,SHC-GQF2,GQF2,AI,SHC,P-3,26,NA,120,2,32,122,152,152,
Y16#1,2.715648855,676.3478115,34.33485843,2.957255761,51.63412816,44.5709085,Patuxent,Hatched,Hatched SHC,2017,SHC-SHC,SHC,NI,SHC,P-4,26,No,118,4,33,122,144,151,
S32#2,2.597402597,955.0639036,33.39243708,2.809388792,49.65178353,36.11455392,Patuxent,Hatched,Hatched SHC,2017,WC-SHC,SHC,NI,WC,P-5,27,No,111,0,29,111,137,140,
Y16#1g,2.59807074,828.0186645,32.5908367,3.562639205,54.46689414,38.41656396,Patuxent,Hatched,Hatched SHC,2017,SHC-SHC,SHC,NI,SHC,P-6,28,No,122,0,29,122,148,151,
S32#1,2.763118441,887.3268876,33.76003908,4.869011422,59.31679188,72.07382702,Patuxent,Hatched,Hatched SHC,2017,WC-SHC,SHC,NI,WC,P-7,27,No,109,0,29,109,137,138,
PS2-2-19,2.736017897,751.1522466,33.79615504,3.239510033,35.60488458,171.7725211,CZ,Hatched,Hatched SHC,2019,SHC-SHC,SHC,NI,SHC,CZ-3,3,No,131,10,29,141,159,159,
