"Egg","Logger","Trt","Facility","Year","Pair.ID","Paired.date","Unpaired.date","Last.alive.day","Hatch.fail.date","Day","temp_mean","temp_var","rh_mean","rh_var","rot_mean","rot_var","Outcome"
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,152,32.73555556,7.861225926,51.72166667,13.41815833,35,3,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,153,31.61222222,5.41077037,49.35333333,7.062108333,43.33333333,230.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,154,33.35,7.536577778,53.80666667,9.345258333,32,57,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,155,33.88666667,1.747633333,52.40166667,18.47480833,17.66666667,20.33333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,156,33.28666667,0.588311111,59.285,34.722025,38.66666667,132.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,157,34.53333333,9.163911111,56.25833333,3.540133333,29.66666667,490.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,158,33.89888889,3.57927037,56.93833333,40.14375833,18.33333333,662.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,159,34.22,5.974233333,56.04333333,4.538808333,31.33333333,485.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,160,33.18222222,13.31293704,58.00666667,39.79280833,32,688,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,161,34.64111111,5.899737037,52.88666667,11.33895833,32.66666667,496.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,162,31.86666667,2.246433333,62.35333333,27.55223333,38.66666667,960.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,163,32.35,9.796577778,70.69,42.736225,35,97,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,164,33.82333333,2.851877778,68.28,32.830975,25,859,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,165,34.20111111,3.363692593,63.91166667,6.250508333,16.33333333,100.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,166,34.57777778,4.566714815,63.74666667,1.859158333,49,37,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,167,33.77777778,7.808025926,57.19,29.683425,43,148,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,131,32.10333333,0.553077778,62.29666667,21.89535833,25.66666667,420.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,132,29.74333333,14.46697778,65.18666667,37.32035833,23.33333333,357.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,133,31.62222222,4.271125926,58.41333333,48.82763333,26.33333333,344.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,134,32.38333333,4.404811111,53.48333333,21.37065833,28,247,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,135,32.50555556,0.642714815,51.86,28.591675,15.33333333,10.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,136,32.49444444,2.265303704,50.08,47.945275,26.33333333,325.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,137,34.25444444,0.892014815,52.22666667,8.781008333,34.66666667,36.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,138,32.49222222,5.687159259,45.69333333,16.37453333,23.33333333,382.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,139,31.41222222,4.341892593,47.38833333,21.61990833,8,49,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,140,33.20111111,17.80632593,52.06666667,50.50293333,38.66666667,26.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,141,37.16,0.589633333,48.315,0.290775,22.66666667,286.3333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,142,37.61111111,0.016359259,47.275,0.431175,33,27,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,143,37.64666667,0.012033333,46.315,0.091875,30,27,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,144,37.66444444,0.006225926,45.95833333,3.419558333,30,27,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,145,37.59333333,0.012033333,45.955,4.837225,25,61,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,146,37.61111111,0.006225926,45.25666667,3.084233333,24.66666667,65.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,147,37.62888889,0.002314815,47.36333333,0.090133333,25,61,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,148,37.65666667,0,45.61,2.504325,25.33333333,56.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,149,37.65666667,0,46.75166667,0.298158333,25.33333333,56.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,150,37.65666667,0,46.84,0.091875,25.33333333,56.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,151,37.53,0.012033333,46.75166667,0.022533333,27.66666667,86.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,152,37.48444444,0.000948148,47.275,0.159475,26.66666667,85.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,153,37.44888889,0.000948148,45.96,1.549425,27,75,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,154,37.44888889,0.000948148,47.36166667,0.295108333,27.33333333,65.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,155,37.54,0.004744444,45.96166667,1.409858333,26.66666667,85.33333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,156,37.17,0.002844444,47.97,0.0676,11.33333333,0.333333333,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,157,37.06111111,0.002314815,48.4,1.6987,22,0,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,158,37.52,0,66.6,1.743175,23.66666667,0.333333333,1
7,6,"WC-WC","ICF",2017,13,128,155,156,156,129,32.08111111,1.374048148,55.77,105.178225,27.33333333,1066.333333,1
7,6,"WC-WC","ICF",2017,13,128,155,156,156,130,32.25222222,5.676337037,58.555,11.824375,20,171,1
